case_id,model_name,expected_rule_status,rule_engine_status,rule_engine_correct,core_rule_engine_executed,rule_version,expected_decision,final_decision,decision_correct,decision_fallback,llm_calls,citation_integrity,document_processing_seconds,policy_retrieval_seconds,rule_engine_seconds,decision_agent_seconds,report_generation_seconds,end_to_end_seconds
01_standard_approved,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,707.8956316999975,,0.0441653999951086,,0.039409799996064976,
02_annual_limit_boundary,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.6587267000068096,,0.033521099998324644,,0.027017000000341795,
03_below_deductible,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.5172450000027311,,0.01734559999749763,,0.014952600002288818,
04_zero_copayment,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.5367182000045432,,0.018522999998822343,,0.014382699999259785,
05_zero_deductible,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.3555123000041931,,0.029414500000711996,,0.022819899997557513,
01_annual_limit_exceeded,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.26809979999961797,,0.028185399998619687,,0.02332909999677213,
02_surgery_sublimit,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.33443529999931343,,0.03527899999608053,,0.038260100001934916,
03_room_limit_proportional,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.31629879999672994,,0.029324900002393406,,0.015616299999237526,
04_waiting_period_partial,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.3219708999968134,,0.02854180000576889,,0.023969100002432242,
05_combined_sublimit_costshare,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.2743789000014658,,0.029632300000230316,,0.021972300004563294,
01_confirmed_exclusion,rules-only,rejected,rejected,True,True,mvp-1.0,rejected,,,False,0,True,0.2838130000018282,,0.02817460000369465,,0.024754500002018176,
02_out_of_network,rules-only,rejected,rejected,True,True,mvp-1.0,rejected,,,False,0,True,0.2545438000015565,,0.02484340000228258,,0.024563899998611305,
01_policy_number_mismatch,rules-only,manual_review,manual_review,True,False,policy-match-required,manual_review,,,False,0,True,0.26931960000365507,,0.0147586000020965,,0.014261300006182864,
02_missing_policy_terms,rules-only,manual_review,manual_review,True,False,policy-terms-required,manual_review,,,False,0,True,0.21385359999840148,,0.03386970000428846,,0.022785599998314865,
03_invalid_bill_total,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.30924750000122003,,0.02628539999568602,,0.022072100000514183,
04_incomplete_bill_fields,rules-only,manual_review,manual_review,True,False,policy-terms-required,manual_review,,,False,0,True,0.14227519999985816,,0.020515399999567308,,0.020847300002060365,
05_low_quality_scan,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,1.1566607000058866,,0.02563450000161538,,0.021542799993767403,
06_waiting_period_unconfirmed,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.2829617999959737,,0.02360439999756636,,0.022482799999124836,
07_preauthorization_unconfirmed,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.2460140000039246,,0.02180899999802932,,0.020651300001190975,
08_network_status_unknown,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.26346940000075847,,0.021343100001104176,,0.020194099997752346,
09_possible_exclusion,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.2691015000018524,,0.02485560000059195,,0.024702099995920435,
10_room_basis_missing,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.2600371000007726,,0.027240399998845533,,0.022591799999645445,
11_multiple_bills_unconfirmed,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.24453790000552544,,0.025800000003073364,,0.02321959999972023,
12_possible_duplicate_charge,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.23719580000033602,,0.03078589999495307,,0.023692100003245287,
